names;Method SiO2;Prep SiO2;Method TiO2;Prep TiO2;Method Al2O3;Prep Al2O3;Method Fe2O3T;Prep Fe2O3T;Method FeO;Prep FeO;Method MnO;Prep MnO;Method MgO;Prep MgO;Method CaO;Prep CaO;Method Na2O;Prep Na2O;Method K2O;Prep K2O;Method P2O5;Prep P2O5;Method H2O+;Prep H2O+;Method H2O-;Prep H2O-;Method CO2;Prep CO2;Method LOI;Prep LOI;Method As;Prep As;Method Ba;Prep Ba;Method Be;Prep Be;Method Ce;Prep Ce;Method Co;Prep Co;Method Cr;Prep Cr;Method Cs;Prep Cs;Method Cu;Prep Cu;Method Dy;Prep Dy;Method Er;Prep Er;Method Eu;Prep Eu;Method Ga;Prep Ga;Method Gd;Prep Gd;Method Hf;Prep Hf;Method Ho;Prep Ho;Method La;Prep La;Method Li;Prep Li;Method Lu;Prep Lu;Method Nb;Prep Nb;Method Nd;Prep Nd;Method Ni;Prep Ni;Method Pb;Prep Pb;Method Pr;Prep Pr;Method Rb;Prep Rb;Method Sb;Prep Sb;Method Sc;Prep Sc;Method Sm;Prep Sm;Method Sn;Prep Sn;Method Sr;Prep Sr;Method Ta;Prep Ta;Method Tb;Prep Tb;Method Th;Prep Th;Method Tl;Prep Tl;Method Tm;Prep Tm;Method U;Prep U;Method V;Prep V;Method Y;Prep Y;Method Yb;Prep Yb;Method Zn;Prep Zn;Method Zr;Prep Zr
ALS;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;
ARC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;
BGR;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1000°C;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;XRF;FB;;
BGS;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1 hr at 1050°C in muffle furnace;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;XRF;PP;XRF;PP;;;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;;;XRF;PP;ICP-MS;SI;;;XRF;PP;;;ICP-MS;SI;;;;;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;XRF;PP;XRF;PP
CERAM;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;gravimetric;;;;;;;;;XRF;FB;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;ICP-AES;FMAD;;;;;;;;;;;;;ICP-AES;FMAD;;;;;ICP-AES;FMAD;;
CGL;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;0;XRF;FB;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;XRF;FB;;;;;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB
CZGeol;gravimetry;FMAD;AAS;AD;AAS;FMAD;AAS;AD;titrimetry;AD;AAS;AD;a)gravimetry b)Volum. with NaOH, volum.with komplexon 3 ;FMAD;a)gravimetry b)Volum. with NaOH, volum.with komplexon 3 ;FMAD;AAS;AD;AAS;AD;Spectrophotometry;AD;gravimetry;NO;gravimetry;NO;CS analyser, CO2 analyser.;Pyrolysis for C, decomposition with H3PO4 for CO2;gravimetry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSTPisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD
GFZ;;;;;;;;;;;;;;;;;;;;;;;;;gravimetry;0;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
Freiburg;XRF;FB;XRF;FB;XRF;FB;XRF;FB;titrimetry;AD;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;XRF;XRF;XRF;IR;powder dried for 2 h at 105°C;;;IR;powder dried for 2 h at 105°C;gravimetry;powder dried for 2 h at 105°C;;;XRF;PP;;;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;XRF;PP;;;;;;;;;;;;;;;;;XRF;PP;;;;;;;;;XRF;PP;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
Graz;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1030°C;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;XRF;FB;;
IGG;XRF;PP;XRF;PP;XRF;PP;XRF;PP;titrimetry;AD;XRF;PP;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP;;;;;;;gravimetry;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
HUK;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Combustion at 900°C 2 h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INETI;XRF;PP;XRF;PP;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP;XRF;PP;XRF;PP;XRF;PP;XRF;PP;;;;;;;;;ICP-AES;AD;XRF;FB;;;ICP-MS;SI;XRF;FB;XRF;FB;;;XRF;FB;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;FB;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;FB;;;ICP-MS;SI;;;;;XRF;FB;ICP-MS;SI;;;XRF;FB;;;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;XRF;FB;XRF;FB;ICP-MS;SI;XRF;FB;XRF;FB
IPEN;;;;;;;INAA;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INAA;NO;INAA;NO;INAA;NO;;;;;;;;;INAA;NO;;;;;INAA;NO;;;INAA;NO;;;INAA;NO;;;;;;;;;;;;;;;INAA;NO;INAA;NO;;;;;;;INAA;NO;;;;;;;;;;;;;INAA;NO;INAA;NO;;
KBSI;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
Lapp;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1200;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU;;;ICP-MS;AD;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
LMTG;;;ICP-MS;AD;;;;;;;ICP-MS;AD;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;ICP-MS;AD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;
Montpellier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD
MUL;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;gravimetry;105°C;;;gravimetry;1000°C;;;XRF;PP;;;ICP-MS;SI;XRF;PP;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;;;XRF;PP;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI
NWU;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1000°C;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
OGL;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;IR cell;105 and 1000 °C in nitrogen;IR cell;105 and 1000 °C in nitrogen;;;gravimetry;1000 °C in oxygen to constant mass;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;
OGL2;;;ICP-MS;AD;;;;;;;XRF;PP;;;;;;;XRF;PP;XRF;PP;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;;;;;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;;;XRF;PP;ICP-MS;AD;;;XRF;PP;ICP-MS;AD;XRF;PP;;;ICP-MS;AD;XRF;PP;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
OGL3;;;;;;;;;;;;;;;;;;;XRF;FB;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;;;;;ICP-MS;AD
OU;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Ignition at 1000 C for 1 hour in alumina crucibles;;;XRF;PP;;;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;;;XRF;PP;;;;;XRF;PP;;;XRF;PP;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
SGS;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1000°C;;;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;;;;;;;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;
SRNL;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Heated 2X for 1 hr at 1000C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulaval;;;;;;;INAA;NO;;;;;;;;;INAA;NO;;;;;;;;;;;;;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;;;;;INAA;NO;;;;;INAA;NO;;;INAA;NO;;;INAA;NO;;;INAA;NO;INAA;NO;;;;;;;INAA;NO;INAA;NO;INAA;NO;;;;;INAA;NO;INAA;NO;;;;;;;;;;;;;INAA;NO;;;;
UNICAMP;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1000 °C;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USGS;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;;INAA;NO;ICP-MS;AD;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;ICP-MS;AD;ICP-MS;SI;ICP-MS;SI;INAA;NO;ICP-MS;AD;INAA;NO;INAA;NO;INAA;NO;INAA;NO;ICP-MS;AD;INAA;NO;ICP-MS;AD;INAA;NO;INAA;NO;;;ICP-MS;SI;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;ICP-AES;AD;ICP-MS;SI;INAA;NO;INAA;NO;INAA;NO
USGS2;;;;;;;;;;;;;ICP-AES;AD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;;;;;;;;;;;ICP-MS;SI;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;;;;
VSEGEI;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;ICP-MS;FMAD;;;;;;;gravimetry;960;;;ICP-MS;Fusion with LiBO2, dissolution with HNO3;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD
Wuhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
WSU;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;LOI after 16 hrs at 900 C;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;XRF;FB;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD
Wien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ID-TIMS;AD;;;;;;;ID-TIMS;AD;;;;;ID-TIMS;AD;;;ID-TIMS;AD;;;;;;;;;;;;;;;;;;;;;;
